NHD_NAME,NHD_NUM,white40,nonwhite40,white50,black50,white60,black60,white70,black70,white80,black80,white90,black90,white00,black00,white10,black10,white11,black11,white12,black12,white13,black13,white14,black14,white15,black15,white16,black16,white17,black17
Boulevard Heights,4,5804.168761523642,1.595088657210049,5897.091440477409,2.1810960554092023,12224.649407317638,1.01613779375783,12627.516629189877,0.0018528909205235973,10525.758735503772,0.00468672409308947,9559.438893659988,18.56530021909316,8492.560070609612,125.0664821180054,7772.44341318549,299.4371971996931,7903.454289556848,219.24643434467168,8021.3886921017975,244.66719082750126,7884.700701546258,313.9183839897657,8129.261321529899,395.55601137059557,8006.325593796697,321.9123544819878,7737.202053002568,468.2578292563196,7886.347786235319,523.3106222092074
Mount Pleasant,17,6748.524811566537,197.8785181491899,6763.838609590468,242.50776818581974,6437.385820488328,220.38255847893075,5190.568937542261,0,4982.288830515005,22.952183637959422,4750.04625240702,169.5389948550205,2912.5114828893616,1348.520206630146,1976.1219233937918,1935.8761951734784,1948.7466823559987,2087.0345971369857,2265.6297544894437,2325.890916500986,1899.3693824961701,2063.0237661844767,2191.6766669123,1602.4473703504914,1779.7038335078407,1903.7463973793256,1779.6409221304239,1840.5636061794128,1608.5561251582117,1725.7265523042781
Princeton Heights,6,7729.911260758745,0.4795982132786969,8599.353597473668,1.9168594331343785,9566.181342959506,5.395960573308348,8921.557159640468,0.2404794104410856,7688.201459007754,0.20053492031488643,6935.327859241522,13.84635630905643,6777.788014405656,146.86748341251393,6238.906411152032,360.1178838278282,6346.423857571114,369.10165287045595,6511.821664648186,307.3361841675063,6693.137771136432,334.1096177251177,6439.849745465043,523.467444784969,6470.527879008923,452.1357569759441,6215.4312694405035,437.4337934733768,6045.580314560885,505.3189885267263
St. Louis Hills,8,8577.446682313788,10.951583367219055,11389.688282151184,4.030334845250596,12645.079898452592,5.663928848235138,11774.551851987428,7.777888654369127e-5,10202.591688101917,11.122470708911548,9318.256463921118,44.99336477496116,8913.521668328982,292.7224024701009,7590.475303267028,290.8636426923644,7875.228350557549,249.55946371347068,7898.016140947273,261.5525534256805,8044.969693078001,308.2047233343819,7768.614638535566,377.81337950627807,7706.730124296074,332.83919711930076,7669.9136060719275,297.21748476865423,7656.455004357804,281.87735440925155
Dutchtown,16,24475.315011366572,46.78547859663586,24972.96809703646,31.517706332104037,23010.947533827308,16.213569751438087,21095.823140383738,35.448344924193414,18114.305340281106,100.5240820417119,14976.618876513732,1189.695346197176,8775.630017058897,6103.043664661851,6009.872817636258,7249.945463676755,6690.707075560681,7488.79600599837,6231.756559208683,7293.508089645413,6988.11843831121,7164.902105013987,7122.366358205716,7796.2164143183045,7415.304956850963,7563.262871588449,6463.367462779925,7984.654958659583,6517.310975121003,8224.37953121609
Bevo Mill,5,15215.987971520422,5.636400927808703,14939.56944324706,7.0618510186741075,14075.458571258374,8.551163491361276,13775.277695824208,17.6647787124828,11901.236826857961,38.904504320582824,10988.642275667507,298.3954838738719,9636.269044599474,1390.4625847841085,8289.433272846856,1792.5766681305374,8424.217191687223,1640.6741252125498,8323.311308916393,1599.8501032425809,8337.541802663905,1697.0858703766892,8580.930141805124,1786.6159996773365,8340.204901147925,2051.114897315325,8191.35968427313,2218.606860354934,8444.87311867139,2268.9743099486627
Southampton,7,9617.171089019459,5.246214692271763,10314.619779295095,4.240663876827856,9929.433975070311,2.609609998165752,9383.025519127908,9.949354445935656,8076.797034484206,1.435264852035425,7323.482339887055,19.45710699731276,7189.8026259656435,213.1727839376423,6250.36527619866,602.2971885587561,6179.924457682756,562.9459146010374,5800.610466415087,705.2369169233915,5856.465062696927,803.2786242311769,5985.047917981176,538.4247415102603,6037.85879954744,465.74790665923564,5973.739521374595,601.9792600975383,5840.4411245108895,410.64558463568846
Marine Villa,18,8718.200982801622,20.666339437301495,8994.212272571682,21.13564150114264,7732.511063647575,17.39237495459923,5831.987774331289,7.176601926429077,3727.6833012207885,91.79882794158969,2939.547918407205,451.3300257969675,1494.3339520138045,1292.7700719689096,1225.4051667005103,1289.6797451116854,1385.7270286341056,1199.8625410250868,1243.9499150265772,1228.80517245148,1240.9456205140505,1271.5074003651816,1393.3558274183788,1208.3413758554914,1407.5790467928878,1186.5552307135745,1343.2268080620315,1212.6490218983581,1333.0712907064435,1290.7731174975404
Gravois Park,19,10664.17405116282,8.952357559435866,10278.843511227262,3.314098120407688,9199.05817460237,7.1107438252681,7578.333295482066,20.00084146627793,6375.66668088919,29.826870147493185,5121.536672415562,642.6468557112021,1823.94577810116,3360.0145220941636,1246.8395404212292,3464.6643822882,1441.6347263084283,3813.610891743751,1294.6255529194748,3566.447187930559,1406.9370199323298,3707.9269010031703,1465.02751885436,3827.3321915068236,1576.3304594223243,3380.5789298707887,1591.9343007569537,3627.031076499512,1642.9645364903486,3126.0220009371815
North Hampton,14,7768.797226639182,168.8327945577573,10382.046709219594,229.77011627397835,11720.250013576762,256.8780558500515,9801.867060760549,180.9305530525508,8233.745495053696,145.70494385383336,7489.5785373224635,130.37742718200826,6760.256690503943,488.39485686255205,6013.180708005546,1057.7773209877628,6075.801612239567,1018.4132600887777,6059.71540002924,1170.13110908041,5942.102106944333,1243.8038965027968,5643.900213198523,1286.2241118620896,5919.281685977482,1217.5278651375982,6054.150438047898,1180.6892475270704,5813.914135080001,1059.7265571534444
Benton Park West,30,10202.853332430783,9.960691084944969,9852.627301898741,3.726728176748921,8916.639072170425,4.842011178185591,7099.914329222604,39.298843133717035,5772.319369988568,42.40901203206176,4276.93395501297,1132.406067058215,1706.763346136106,3198.40393086562,1325.502659102493,2524.3509649835537,1700.074029135937,2548.924105370337,1643.4041499678854,2335.1004130284414,1418.0821805904125,2636.6585017577972,1433.8431213029614,2545.7955571781117,1410.9921137163446,2632.712983591223,1424.3771382695475,2799.698335471252,1596.3005066686628,2769.993010874629
Tower Grove South,15,22301.830134728356,16.476100619075684,23087.044930562268,16.97524828703359,21450.734427233037,17.339905033274174,19408.2109921335,4.577801680979155,16488.48037177694,41.02488774223834,13982.162885428974,811.0374403002778,8880.67136867288,4519.488710152716,7681.077897855298,4223.888837851956,7393.876837417688,5032.374329650803,7448.420647857569,4889.383905143405,7558.077119349915,4380.049800182763,8036.676591757892,4283.692953045941,8366.037392036284,3890.8157075668896,8586.388687949648,3618.316713991775,8759.744109453668,3140.067295235641
Lindenwood Park,9,9857.770303578707,3.4711053684745368,13484.29883431739,3.7247150864325187,14684.436294629737,2.5180483626369767,13211.02530847672,1.5851270550402148,11208.954960218229,17.93827108937371,10378.419262612415,40.74998846140335,9797.847967813737,263.8665468183884,8662.464414283773,452.4836747615534,8838.010245103174,453.7032330874824,8492.398957444495,443.73987224111113,8349.938945943733,578.8294231561359,8259.42556233826,712.5292456926002,8366.704932651644,769.9471586599041,8403.959132941167,622.2039114837014,8384.164941525878,569.0026926118138
Benton Park,22,12097.593779820545,4.34752668066898,12381.731281178216,4.814355254866462,11018.14256569879,1.1248099722075724,7737.290705959351,5.403506050741443,5122.244112925264,27.43090340465108,3710.267922686757,792.108763097008,2135.7558837161864,1622.8203400303726,2151.399259019059,950.7416178796357,2159.942189063708,989.5930058348924,2080.102793481797,1087.1013520019733,2169.3730904746903,925.8101873711942,2437.6047588193096,810.9014100745597,2391.725423555497,859.9824849977043,2450.555799145153,939.1177053173444,2383.120584616798,874.8505713328852
Tower Grove East,25,11356.664893792833,35.668558053129786,11037.682616035898,24.325614229912855,10130.328025852874,19.12375898613812,8765.353772409118,22.882463241156298,7038.748904157634,140.66542496356857,5284.70047657256,1446.627515571374,2699.538796788283,3231.5716776430536,2464.2273147562387,2481.986030360956,2532.4657884176654,2708.6933759406556,2640.467080740935,2350.1502363269615,2783.6256062724774,2343.4499587703863,2790.1954135559085,2320.474031523425,2929.7406806561785,2271.1354015918246,3025.109151392468,2554.513815987469,3153.942802957933,2486.3650627711722
McKinley Heights,23,5970.166596092439,5.430994591846447,6226.951117836436,2.461070141715002,5077.275247495497,153.22952608564216,2752.142183660719,240.79925301224688,1589.4037389124192,242.03987521667543,1154.27171499232,520.7805902064594,793.3172366036305,665.1664503712448,864.2064084926997,443.94632299154074,805.2945713260558,475.6169573928901,825.0151141976228,497.33952470951186,893.6115572158313,445.5157401848114,960.8101069674824,425.102693438994,982.1399987909509,424.4748598690246,1022.1181438379482,472.15963112403523,1048.6553452368237,462.62349299368486
Soulard,21,16385.88975980705,122.87449898062386,17042.498559337222,109.74144777515912,12157.874195832608,117.23720939564886,6010.675433889643,96.24623027184371,3151.81628391744,168.16598233629693,2861.8808114157473,752.6248655912497,2117.528040889881,1157.8446043987644,1322.216318969171,652.971712293081,1334.2919726325988,598.0996830687347,1372.1083082659702,649.3377899657248,1418.9646868524042,608.8638884078549,1447.5737168076125,608.9781336889217,1426.442383570908,619.1766857657476,1352.900709246887,670.6894538644551,1341.8832992320886,676.4915202237772
Fox Park,24,8662.370719493472,9.754485405317238,8944.200093214095,6.014394245010726,7813.799510867552,2.068605055565768,4658.640045600765,943.8470714105832,2652.0370508147744,463.92231489877526,1600.7381155158282,1445.1659508922137,805.0021682633115,1918.9740097082047,696.6859234706228,1564.525349393549,688.4689344269005,1716.9537630987,759.3940227239189,1651.7237302771102,661.6112128505102,1722.02130034341,708.7784818094847,1727.7732566879995,716.2681683624601,1809.4053619512395,798.4910209909051,1753.2578737674448,876.9240447629435,1535.8901716326413
Compton Heights,26,5602.652814220857,19.891711091416447,5801.251330531645,16.53978736796034,5313.830045229958,11.203903513331909,3724.6256899675122,671.5963663424099,2227.328187418666,855.2833712920816,1673.2249645961915,1066.375366976766,1149.2653248427923,1374.4153342398895,999.6828001665101,927.360251751976,865.1880549009155,999.6215949054541,886.4295984690976,983.1287775001902,954.0177712995819,893.2354268490534,1038.0238129688732,702.5234512558878,1112.8837576297137,772.5604802791875,1215.1706031951912,806.5679084093091,1239.6165650986354,831.00308746550445
