NHD_NAME,NHD_NUM,pop40,pop50,pop60,pop70,pop80,pop90,pop00,pop10,pop11,pop11_m,pop12,pop12_m,pop13,pop13_m,pop14,pop14_m,pop15,pop15_m,pop16,pop16_m,pop17,pop17_m
Hyde Park,65,9158.08394210152,8893.859687236602,6979.938832180996,5368.521878197038,3274.351546439098,2917.8963681471882,2125.340345264058,1601.4576693431923,1833.0751727065317,444.2876502691447,1811.5386249633377,458.0039245442337,1825.0473618805408,408.2703739723368,1881.49781620784,405.26713989941123,1600.5267080251624,271.16907381734393,1720.3701831617195,300.2887146220921,1651.4130530883108,307.36978297134124
West End,48,21045.568240144843,22955.44613416978,22470.895531393828,17665.996636864063,12006.307440724537,9409.43866982493,7061.688318134791,7026.910319341934,6735.622879941648,983.8095285291963,6955.947928279472,882.8079078316497,7186.980443465424,976.0709281239779,7271.38105089974,978.9811902446241,7146.276438499426,964.1461184572269,7153.626641205655,973.9548910645196,7361.457738281053,1007.3817302424441
Greater Ville,56,22395.45508471002,22459.36894382893,21633.163650483984,19012.887022914478,12808.359582746307,10151.816281461719,7228.345056700716,5660.14290116514,5897.8591362970365,993.038312442004,5828.647763361799,1126.9984717216041,5428.64257124005,1006.366701493832,5050.9485861237945,879.4934219414346,4844.210377439057,874.6147169606511,4834.121423883932,809.462871825682,4759.726649719393,817.7414549399164
Fairground Neighborhood,67,7229.859109453093,7247.879120241245,6355.348463543197,6595.415552708203,4361.376492789966,3167.903158886352,2180.9412015154753,1661.6684763577919,1651.6802984968376,391.43559490605907,1607.3862030526975,375.7864044513565,1687.5300603393891,322.9463431809285,1607.5136833481436,277.4581223125073,1103.5866359866966,169.52851946293208,1138.2578172611597,190.5113145073041,1163.0048018254954,184.9593480726866
Hamilton Heights,78,14172.62975802979,13380.892007636627,13661.970687011362,12518.20702006473,7412.203466934467,5376.694529553352,3849.223637372999,3064.924279697969,2828.098745928435,555.1652828403694,2586.0660445707395,506.6356636176889,2712.7952052630512,483.11941439358276,2445.9557131002307,380.10914784324746,2336.039785988452,336.6495571092916,2462.9792256242567,314.24544071117435,2432.041688765101,393.83783840656895
Kingsway East,55,8239.820423980165,8763.344090088509,8393.223358221536,7705.997472450318,5930.951457530755,5069.677599523511,4338.301656227477,3561.146580536354,3565.0723729315223,434.43989569173056,3424.7322277352864,636.9147406163223,3155.2056504384195,529.9795681883933,3149.4512951462675,547.220105478185,3004.0786613363625,563.8730787999867,3159.4006980126132,577.0392685423632,3207.2612948302954,435.37162080576627
Kingsway West,52,7823.3663904785435,7744.604671237926,7367.827894479717,6889.932605563943,4938.528121563206,4197.635385520623,3287.0861925865033,2839.146641725737,2810.5976142365207,437.99734746429965,2676.977201479572,380.25025809791384,2663.023050047626,366.935860639527,2790.2733570565306,386.84567271627355,2652.7780463849554,366.9098891462169,2379.4724606623186,386.4366043782488,2434.2566521468816,441.15939705268966
Patch,2,6922.290220037441,6532.856200760591,5705.138168785743,4739.164086159106,4746.278167624518,4257.087050866632,3762.435093436996,3525.6742672293594,3601.9009729135464,408.2236590606546,3681.2883691400516,475.1563486609869,3708.991510491086,485.27175831039347,3954.1764494719173,516.6490637411299,4095.7466705703173,588.6354086903186,3991.835371192088,614.7938401576463,3902.450080047639,580.2526046039137
Carondelet,1,16061.652827730373,16315.67873463206,14998.02256026865,12930.37136383143,9958.467719915689,9026.359529767778,8433.649007965987,7976.171928127307,8081.747315303967,1025.914147015356,8157.717394818268,1072.9781820374963,8011.806318076531,1052.561099207881,8280.933833144289,1034.3592990985414,8778.67158895169,1037.8542157354532,8482.369946261862,1083.4613638583035,8485.137680116439,1090.1809291203456
Holly Hills,3,5083.638112986352,5237.4006680836155,4831.9504202470525,4781.973894302648,4054.80043718506,3543.7237502087623,3584.1886420828077,3552.68453324009,3660.098549242558,255.61077053954733,3443.523137371386,234.93822796404564,3474.441699249657,245.9518403489303,3408.795012169935,244.07176065844794,3362.2915063511373,314.190596741858,3339.796428869341,331.8235727835688,3394.904091307482,297.17715737571757
Boulevard Heights,4,5805.763850180852,5901.858005586889,12226.672044680547,12850.99666023466,10601.30613955737,9669.163164295069,8986.250595441714,8669.405171849025,8487.158470518314,773.6180827127821,8808.496807012605,891.8839284960281,8688.763084285523,810.5302675729667,9004.500887934832,819.7003046754696,9042.303731955006,854.2057396872971,9145.838039303055,773.3823483257688,9323.760938190708,771.1423444132663
Mount Pleasant,17,6946.403329715727,7008.797532112904,6661.039848944014,5253.810309344108,5041.531049984129,5005.608525892375,4637.052111904634,4333.926762313233,4434.293699061483,606.9382744817765,4927.339050488156,585.9352414799811,4293.621073650266,575.7248025709413,4176.951942223383,532.9758378747333,3959.267780300453,481.09392078010205,3955.6903399935054,505.85492079454997,3606.462365430569,515.4480676668942
Princeton Heights,6,7730.390858972023,8601.74473902579,9580.05745177929,9071.383075271506,7724.240596814148,6990.12473488687,7201.3598424177935,6905.420053797185,7005.226560698673,563.7235154973188,7130.762929805953,474.03604398179345,7303.422118497019,544.9285394966203,7307.520052069477,554.2917780360079,7213.5873602000665,551.0787992148197,6937.457259988076,547.990720467214,6777.2754141698715,500.3268444339166
St. Louis Hills,8,8588.398265681008,11396.023199343952,12665.529637903754,11960.416059114079,10265.860726183451,9440.182706227672,9567.993049955783,8166.5623261321,8339.56474033664,569.812965633795,8324.31642116631,507.90417956024766,8518.65737688354,578.5417479115807,8337.162909750323,601.8771465143893,8233.080420582437,547.5718673292673,8153.776032193454,605.9143707194893,8141.344206644414,634.4393258773603
Dutchtown,16,24522.100489963206,25006.46236800429,23058.080509856572,21637.66499011167,18460.13573105439,16567.87436906508,16571.933136576044,15340.180167324168,16054.947992858823,2093.5470487202506,15260.04606540856,2075.669215106493,15982.141515729683,2253.866281163205,16560.939850579914,2273.6323755017047,16812.852447931225,2048.7909559270565,16333.098826349238,2226.9168059358058,16783.739621075758,2468.646124842676
Bevo Mill,5,15221.624372448232,14947.59802691613,14087.660874502211,14109.817213642727,12047.049890580314,11431.317839645055,11904.990280367569,11372.725792960728,11290.934392584548,1050.071336535281,11079.678761154768,1019.1008908633755,11143.53315159172,1060.5853075503321,11424.505002106853,1163.60790939767,11510.132657357124,1201.734875482312,11511.71430051201,1152.1183526059708,11844.970623533314,1131.6463519393687
Southampton,7,9622.41730371173,10320.034787520539,9937.817422267186,9557.59483741598,8136.867986331806,7431.374595717194,7725.177021930059,7252.5611066449,7337.13233671347,671.5484230293898,7170.457999980403,682.3569563355102,7334.4747529225515,604.0125801509241,7091.621962848325,589.7693987202433,7075.707391067902,549.5888148904185,6952.903300784633,461.2469230296046,6745.859961366286,467.5881804194231
Marine Villa,18,8738.867322238922,9018.922170519703,7754.9893482141415,5981.682707772396,3868.984270741687,3477.769252248758,2987.786536901288,2739.038989928633,2791.3539838962874,384.38456591847233,2657.6113463153783,381.79204595748627,2704.753415096747,416.6456236620447,2789.8995019764984,343.32826571238485,2775.1035534401444,296.20386728143745,2712.6632950890066,343.2034668439489,2798.3825531872603,355.7280518250055
Gravois Park,19,10673.126408722253,10282.654477519727,9244.87100763206,7819.916167807781,6498.3697418697,6098.43386183693,5762.806425449097,5246.7882771964105,5747.600820087006,759.0555964256992,5341.732556654073,681.2122580557531,5580.940954194317,719.0920750042033,5927.1600042806085,786.1475993792488,5661.524613594647,725.3098706664625,5756.554827543937,720.1437112664715,5216.738017233959,824.7824698865868
North Hampton,14,7937.630021196939,10617.492457536906,11994.66360700195,10158.385185777901,8429.940467666256,7690.75840287153,7641.258710833745,7676.355826459351,7514.303145975427,772.2244424318374,7735.890157121034,759.2391286931669,7635.162782870567,837.350184365898,7650.394961780785,815.5422562863146,7820.108509359646,746.8796224532006,7772.0539937831245,708.9124304348778,7560.646568053646,732.6112151408945
Benton Park West,30,10212.814023515728,9859.43779523839,8931.894268249112,7392.035047061706,5905.090126634824,5718.057231286773,5451.944066071256,4398.768051386023,4757.397719892662,624.5945281608532,4760.689337798819,651.2499818345633,4698.834589457559,635.9809818820638,4579.612931507951,593.2929229399866,4664.475803782883,663.123305727198,4839.17637104669,665.2070369311589,4820.537097395036,624.8922226202556
Tower Grove South,15,22318.30623534743,23106.428988509993,21483.0053836546,20034.372191657814,16746.8557401061,15314.577095338183,15514.474258275488,14098.73264508747,14461.561205957483,2031.868744485513,14581.628051711157,1875.430117777278,14342.748347843388,1730.9471225319828,14456.067797212783,1793.9778605332408,14433.348967120894,1581.9022266896875,14339.087471908451,1587.151444133282,14325.160942863025,1579.5301044808698
Lindenwood Park,9,9861.241408947182,13493.563249139765,14703.079647957537,13437.369467786362,11299.11977635257,10511.222639284662,10392.855792730077,9576.873959789738,9722.726070894305,886.7351737367602,9381.61667859319,763.5598691942338,9304.748291765352,817.0928814958054,9356.186570986001,794.4817069887523,9496.42625490235,732.6429515700611,9466.941238399173,771.1245821814656,9395.342056639205,741.2474947082882
Benton Park,22,12101.941306501214,12395.062308329188,11030.863692283727,7894.717920587588,5237.06746367284,4628.708455624562,3965.003635373598,3318.538354683267,3270.3130182321984,456.1876377726153,3310.036479781881,432.84431862056675,3197.4582454575852,448.83927936217134,3328.7247758249414,278.6248184207239,3360.9525788632463,285.3928922617153,3513.560104929153,300.1564780387054,3392.1754117943806,308.57749212041074
Tower Grove East,25,11392.333451845963,11064.201779263187,10161.522628304945,9047.627704712564,7349.328907229102,7105.392988676231,6656.82710923808,5507.040960982915,6123.944535381271,758.5789599010301,5827.399885795492,686.1282019142794,6001.132492241852,718.9571560985368,6216.653838290452,701.5488106524444,6088.076122594366,710.510255002448,6414.681095842797,799.7861307241469,6265.515814648181,711.8894934628928
McKinley Heights,23,5975.597590684286,6235.304347511378,5250.95103263877,3060.026831469156,1856.029817522537,1720.2816637594362,1522.1667885321915,1381.8448631630283,1322.5856027492507,145.7648294795903,1377.5301826587533,141.12132457166058,1395.740432698725,135.17623716684665,1430.1388705600598,106.92723726744192,1461.4300884992372,128.06911827043,1544.9725738809861,124.77831616443434,1571.340266149339,132.7218011525379
Soulard,21,16508.764258787676,17170.118366418545,12305.855353410232,6316.345874651993,3367.399286951428,3688.10476463763,3412.6372757859017,2078.165438058119,2021.8813013714448,227.39897949437545,2099.724078315172,210.18416270231216,2112.337795456088,220.8545238245886,2135.6405257276037,183.48099042933376,2134.8810018676895,188.7522785964018,2097.621382895429,185.44544984273503,2099.545475694639,210.1229656850582
Fox Park,24,8672.125204898788,8953.040141897573,7829.320425596312,5687.572272660142,3185.625449505179,3175.458960013324,2881.7563736390093,2411.411131690871,2600.0079043505275,280.8958977120908,2619.8303828260973,294.1885532223272,2595.86874336258,347.07317541347965,2576.8698094138144,320.9346487860946,2619.2574627755566,331.9056301087852,2643.2276209233955,327.8492489591609,2473.314220434499,307.3596875430577
Compton Heights,26,5622.544525312274,5822.231757022708,5339.398324534631,4550.686996924238,3131.859894659761,2869.0794775848285,2672.5536515152326,2049.8049442440833,2161.3752551924586,265.88113100178094,2117.285440420448,232.6300241059397,2124.9945267094454,184.9948389826135,2017.9159754104223,176.51955952228775,2039.0294911769215,203.56321202289348,2173.3539881620395,231.95928246699802,2201.6224103503782,230.87324751901303
Kosciusko,20,14511.731872977332,13323.119246658336,7478.796002510493,2673.4198625462623,2163.0873204918444,1752.1087890978602,1371.950893369853,2942.3210398905117,2838.3551346272375,299.99453476882434,2968.998081110034,286.9615043386183,2998.7636380132185,313.86732752491196,2994.774770561352,283.0913438296216,2944.025333449963,263.1899306652139,2806.1013020877176,268.51329469883683,2794.3148985687517,308.65881711012486
Shaw,27,15637.428006668884,16064.47054783474,14783.766158759045,12145.792687677107,8961.124474964543,8048.029968822059,7468.977154843659,5925.163450850351,6063.246481853141,602.0849112761159,6032.438281331177,662.7716014418428,6203.972750217985,632.99715148173,6011.676143811397,616.5184800571835,6096.112025160819,651.6012234641115,5874.263078696778,719.4783299767636,5842.080219349731,643.2401199321015
Southwest Garden,13,11192.004095978054,11412.574529501473,11403.828933044028,8451.441558426419,6331.725715668421,5716.286509666902,5085.327245120665,4637.434092851399,4591.3861988672015,570.8531156589414,4439.788334445362,409.61775110535746,4337.286756909125,472.8780600027727,4692.08077653355,597.8060326203966,4857.460600319514,602.2107319594106,4946.618777738005,650.3668256442456,4968.575910585527,656.0607005181956
Clifton Heights,11,3837.9103333648773,4031.9732008986152,4052.949731233206,3513.1721467036996,2896.8304596826833,2664.8944469454254,2641.392484034108,2315.1312130301803,2256.902428090782,254.20590939826303,2291.0815636590464,235.73270652506767,2281.9176694204343,215.8191545423001,2202.0807168039405,194.9560957821078,2276.3128530836684,224.3553617586793,2297.9500324144465,254.12350207240792,2210.9875338435354,222.76657835066123
LaSalle Park,34,6475.968147268505,7165.471786873802,5001.628419516734,3442.903580204549,2110.3643729450555,1559.779214060113,1369.7077269778597,718.2503147913366,678.9731514772552,69.98082046842678,736.8357235516503,82.2902218867134,745.4836962437431,88.00183017609756,780.7905218646376,76.20012535729099,781.440083473948,71.67979150313627,804.0112646242582,84.85536794211677,766.4857422065606,86.14416496379363
Peabody Darst Webbe,33,5315.5285014331475,6132.147851200467,4573.179968910837,3024.741164150759,2036.7880885727973,1380.16788225982,1140.5832641007537,914.5324976506288,854.7681005933193,81.2969530311776,896.1291539846757,101.37967259467857,924.0325784725213,95.83348338906609,942.2005182098312,86.75637015182022,953.2718704275621,87.47195580413035,1024.9199576815508,100.13575872281632,1044.5175436784561,100.4160354610636
Lafayette Square,32,8614.052879112116,9801.835005116985,6902.41716842534,3919.360404174516,2437.3773844221273,2109.6846265619756,1805.0093119180433,1596.6935426844261,1491.0417757488553,139.57928920468203,1551.5437179174264,172.15926699596542,1604.0707890100514,159.83044266774252,1620.2275330338875,147.09043262495973,1638.6287600146757,150.239185768325,1764.9904576842891,168.26574578750234,1822.2383243133343,169.94891484113018
Ellendale,10,3747.958737210299,4400.864027132571,4656.1116325226185,4116.236310807012,3066.4199748649403,2463.879041753022,2146.3607432682957,2882.173604401612,2814.9950831258548,340.0890539270797,2735.768056886468,227.62648947901096,2949.183719312831,233.52433020710788,2788.265939160662,219.67175613685865,2759.743241094271,194.78392778718978,2665.2939598969356,219.33607311964585,2749.86866647807,224.70861988163264
The Hill,12,6658.309182547365,6352.932893217854,6285.266117809138,5218.947087990746,4055.0309498429874,3574.6013359476824,3391.203904307744,3012.757022428355,2770.6247508931874,280.4017697201395,2812.9599010176216,273.3506558764909,2893.141383216267,248.31461479320362,2849.22784648486,245.31245565792503,2946.7492903083153,247.08193229763515,2871.2164322265576,274.54981624389933,3067.2300055026935,283.1249833715573
The Gate District,31,14992.035836269139,15765.13033250785,12400.937048242593,8893.35400255559,4698.325797951551,4171.366692262393,3834.9045230366564,3376.564898570421,3220.0161750300963,377.2780876932133,3252.0661518841694,367.65742089728667,3375.3822541989707,414.56590108261724,3323.9823362673023,358.99767516841695,3402.8557133017534,344.98593162392916,3501.101519794789,391.9776814548282,3452.123177042011,375.4251669180246
