GEOID,NAME,pop10,pop11,pop11_m,pop12,pop12_m,pop13,pop13_m,pop14,pop14_m,pop15,pop15_m,pop16,pop16_m,pop17,pop17_m
29510125700,"Census Tract 1257, St. Louis city, Missouri",3329,2960,397,3029,490,3525,496,3618,540,3752,484,3708,361,3793,388
29510126600,"Census Tract 1266, St. Louis city, Missouri",3543,3094,403,3230,519,3677,623,3433,533,3495,466,3618,450,3351,394
29510126700,"Census Tract 1267, St. Louis city, Missouri",1258,1957,519,1836,481,1386,289,1353,310,1089,199,1173,201,1089,225
29510126800,"Census Tract 1268, St. Louis city, Missouri",3698,3595,444,3494,279,3807,302,3574,274,3490,231,3375,263,3515,264
29510126900,"Census Tract 1269, St. Louis city, Missouri",5016,5499,693,4832,641,5152,810,4689,613,4590,826,4207,706,4462,710
29510127000,"Census Tract 1270, St. Louis city, Missouri",2470,2918,309,2542,307,2261,214,2296,256,2052,273,1978,271,1826,218
29510127100,"Census Tract 1271, St. Louis city, Missouri",2234,2243,275,2228,243,2024,223,2208,231,2024,247,1991,288,1735,271
29510127200,"Census Tract 1272, St. Louis city, Missouri",4075,3955,376,3863,282,3810,386,4237,561,4486,584,4331,586,4332,634
29510127300,"Census Tract 1273, St. Louis city, Missouri",3769,3346,426,3326,375,3571,409,3416,338,3527,312,3655,387,3781,375
29510127400,"Census Tract 1274, St. Louis city, Missouri",4795,4547,477,4969,623,5034,652,5410,547,5486,516,5817,653,5465,630
29510127500,"Census Tract 1275, St. Louis city, Missouri",2237,1986,281,2240,284,2363,287,2426,388,2489,268,2476,306,2250,352
29510127600,"Census Tract 1276, St. Louis city, Missouri",3239,3042,302,3254,262,3280,303,3234,288,3129,268,2957,255,2930,308
