NHD_NUM,NHD_NAME,pop10,pop11,pop11_m,pop12,pop12_m,pop13,pop13_m,pop14,pop14_m,pop15,pop15_m,pop16,pop16_m,pop17,pop17_m
62,Columbus Square,1207.2941930007926,1038.3644739813362,137.7917733838049,1091.1172444941146,168.80117171128052,1266.320732466951,171.0407126459105,1288.0835039087092,187.5435431726346,1342.6616868762558,170.12412998132064,1343.410827461028,134.88223348929458,1377.4381799428627,147.10132843909676
61,Carr Square,1944.794681210121,1728.2289813488965,236.71680491805304,1838.5256895559735,270.98452476048374,2057.290055538438,274.167792033842,2111.706993422508,323.9014868080132,2180.8009105209226,263.43276103778044,2160.731519934673,232.2974835799648,2114.803073391503,257.42692477720533
45,Wydown Skinker,930.3177188281401,903.2517873649658,84.07786356694429,962.2675449719065,81.40386824615089,962.28988988631,107.44340940375088,924.3580669587683,109.32538616313204,935.7233933080759,90.55412692901918,949.4277112816975,90.53829953605074,838.288779304114,64.51889819753448
77,Covenant Blu-Grand Center,4144.374155483194,3475.050286631735,566.1150027668101,3715.08913434365,563.2938950002336,3484.736155096122,522.0742765028941,3641.4318226344335,515.5531532085176,3608.42515670356,479.0156241618665,3482.126265915081,406.39598547066873,3544.7956311672788,457.97478770450726
38,Central West End,14755.787266315334,14114.08697673651,1703.857353039846,14290.867838347394,1550.212020156244,14511.165157791165,1702.0767336540139,14545.216947467698,1751.4117774665135,14915.209143091275,1505.5060790483972,15109.6061201272,1476.675362884104,15149.540369491264,1560.3468478808365
63,Old North St. Louis,1123.8927843886183,981.6224355218385,127.91997402979109,1024.6986300419085,164.68020388356769,1166.419659336526,197.6118320082151,1089.3018972909083,169.1298051434891,1108.8238584729165,147.8524422238988,1147.7841249534174,142.77011637993922,1063.2032937173135,125.04600199116327
58,Vandeventer,1887.5532642902167,1897.5199452876816,350.2970929271753,2111.8011704045134,378.51454085246536,1982.5504540477,350.454147440246,2039.327984206866,373.09898389896796,1978.9645589832294,352.3048085623278,2039.3060435206455,360.621071467348,2140.0032393240554,356.8086548227374
60,St. Louis Place,2310.367851211559,2235.5839526944496,311.705054046554,2250.7009339614956,318.7454494644834,2248.4288981303716,329.26133864620004,2347.7634129298976,315.6320500198462,2190.426012724767,287.94814891488227,2212.845959028552,317.61345165478315,1997.2000931525968,297.17690776587426
49,Visitation Park,924.8186459380267,848.0957132016906,158.46031408905844,852.5244085130158,150.471291586725,923.6171844223214,139.38021201904982,926.5049845249663,130.64064784728353,949.7781256824001,124.93768176527097,900.7809201416958,139.37525462404307,873.9860327419223,148.5235751590133
54,Lewis Place,1760.8952133523537,1840.5730822156681,330.1851185669987,1935.1633762390338,357.1394088531332,1770.5041284695385,320.9923060167619,1778.646671771786,313.56779993971037,1530.5394998120626,298.26293744726354,1426.0732963042592,271.0463077827106,1440.473621538503,311.28379121355715
