Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_State,Geo_tractcd,Geo_NHGISST,Geo_NHGISCTY,Geo_GISJOIN,Geo_GISJoin2,Geo_DECADE,Geo_state60,Geo_county60,Geo_Supp_trc_pcs_count,Geo_SuppFP_1,Geo_SuppFP_2,Geo_SuppFP_3,Geo_SuppFP_4,Geo_SuppFP_5,Geo_Supp1,Geo_Supp2,Geo_Supp3,Geo_Supp4,Geo_Supp5,SE_T001_001
"Census Tract 0024A000","Census Tract 0024A000, St Louis City County, Missouri","140","2951000024A000","29","000002400A","290","5100","G29051000024A","29051000024A","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,9095
"Census Tract 0024B000","Census Tract 0024B000, St Louis City County, Missouri","140","2951000024B000","29","000002400B","290","5100","G29051000024B","29051000024B","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,7045
"Census Tract 0024C000","Census Tract 0024C000, St Louis City County, Missouri","140","2951000024C000","29","000002400C","290","5100","G29051000024C","29051000024C","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,10510
"Census Tract 0024D000","Census Tract 0024D000, St Louis City County, Missouri","140","2951000024D000","29","000002400D","290","5100","G29051000024D","29051000024D","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,1496
"Census Tract 0024E000","Census Tract 0024E000, St Louis City County, Missouri","140","2951000024E000","29","000002400E","290","5100","G29051000024E","29051000024E","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,3209
"Census Tract 0025A000","Census Tract 0025A000, St Louis City County, Missouri","140","2951000025A000","29","000002500A","290","5100","G29051000025A","29051000025A","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,1111
"Census Tract 0025B000","Census Tract 0025B000, St Louis City County, Missouri","140","2951000025B000","29","000002500B","290","5100","G29051000025B","29051000025B","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,9885
"Census Tract 0025C000","Census Tract 0025C000, St Louis City County, Missouri","140","2951000025C000","29","000002500C","290","5100","G29051000025C","29051000025C","1960","43","096",1,0,0,1,0,1,0,0,1,0,1,1571
"Census Tract 0025D000","Census Tract 0025D000, St Louis City County, Missouri","140","2951000025D000","29","000002500D","290","5100","G29051000025D","29051000025D","1960","43","096",1,0,0,1,0,1,0,0,1,0,1,561
"Census Tract 0026A000","Census Tract 0026A000, St Louis City County, Missouri","140","2951000026A000","29","000002600A","290","5100","G29051000026A","29051000026A","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,9346
"Census Tract 0026B000","Census Tract 0026B000, St Louis City County, Missouri","140","2951000026B000","29","000002600B","290","5100","G29051000026B","29051000026B","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,2232
"Census Tract 0026C000","Census Tract 0026C000, St Louis City County, Missouri","140","2951000026C000","29","000002600C","290","5100","G29051000026C","29051000026C","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,5257
"Census Tract 0026D000","Census Tract 0026D000, St Louis City County, Missouri","140","2951000026D000","29","000002600D","290","5100","G29051000026D","29051000026D","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,3497
"Census Tract 0026E000","Census Tract 0026E000, St Louis City County, Missouri","140","2951000026E000","29","000002600E","290","5100","G29051000026E","29051000026E","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,3785
